Machine Type,vCPUs,Memory (GB),Model,Threads,CPU Speed (events/sec),Memory Read (mb/s),Memory Write (mb/s)
e2-standard,2,8,standard,1,343.62,18402,15398
e2-standard,2,8,standard,2,582.14,25651,15595
e2-standard,2,8,standard,4,581.52,25682,15644
e2-standard,2,8,standard,8,578.98,25802,15613
e2-standard,4,16,standard,1,343.58,18905,15548
e2-standard,4,16,standard,2,684.16,36377,25159
e2-standard,4,16,standard,4,1161.84,51903,28731
e2-standard,4,16,standard,8,1162.05,52196,28928
e2-standard,8,32,standard,1,1434.82,44463,27438
e2-standard,8,32,standard,2,2871.31,86193,32923
e2-standard,8,32,standard,4,5731.55,167964,38776
e2-standard,8,32,standard,8,6384.87,193771,47382
e2-highcpu,2,2,standard,1,343.34,18770,15516
e2-highcpu,2,2,standard,2,581.14,26122,15722
e2-highcpu,2,2,standard,4,582.14,25985,15700
e2-highcpu,2,2,standard,8,580.71,26005,15687
e2-highcpu,4,4,standard,1,344.01,18779,15588
e2-highcpu,4,4,standard,2,681.72,35804,23436
e2-highcpu,4,4,standard,4,1161.8,51175,28373
e2-highcpu,4,4,standard,8,1158.19,51828,29053
e2-highcpu,8,8,standard,1,341.97,18110,15308
e2-highcpu,8,8,standard,2,682.42,33936,21976
e2-highcpu,8,8,standard,4,1352.95,72100,39814
e2-highcpu,8,8,standard,8,2230.35,100825,54046
e2-highmem,2,16,standard,1,336.39,18455,15388
e2-highmem,2,16,standard,2,573.81,25416,15552
e2-highmem,2,16,standard,4,573.11,25037,15498
e2-highmem,2,16,standard,8,574.21,25021,15387
e2-highmem,4,32,standard,1,338.29,18340,15230
e2-highmem,4,32,standard,2,654.16,33667,22738
e2-highmem,4,32,standard,4,1120.69,49042,28770
e2-highmem,4,32,standard,8,1142.4,48544,29874
e2-highmem,8,64,standard,1,1436.02,46901,27173
e2-highmem,8,64,standard,2,2860.69,91137,24660
e2-highmem,8,64,standard,4,5720.6,177987,25702
e2-highmem,8,64,standard,8,6372.81,200862,47341
e2-standard,2,8,spot,1,1414.31,44887,26707
e2-standard,2,8,spot,2,1554.44,50245,27845
e2-standard,2,8,spot,4,1563.73,49985,26811
e2-standard,2,8,spot,8,1567.21,50221,26750
n4-standard,2,8,standard,1,975.41,33685.72,26237.36
n4-standard,2,8,standard,2,1024.19,41572.21,26228.02
n4-standard,2,8,standard,4,1028.13,40794.82,26335.45
n4-standard,2,8,standard,8,1033.54,42344.01,26482.94
n4-standard,4,16,standard,1,950.79,32515.63,25312.73
n4-standard,4,16,standard,2,1898.52,61068.89,29802.85
n4-standard,4,16,standard,4,1984.99,81187.15,38523.47
n4-standard,4,16,standard,8,1988.12,77372.17,40576.16
n4-standard,8,32,standard,1,947.1,32241.59,25177.66
n4-standard,8,32,standard,2,1892.51,62466.98,30104.69
n4-standard,8,32,standard,4,3785.47,125538.23,56846.47
n4-standard,8,32,standard,8,3973.89,148778.34,57259.03
c2d-standard,2,8,standard,1,1560.66,49896.23,30466.91
c2d-standard,2,8,standard,2,1732.78,56228.62,30771.83
c2d-standard,2,8,standard,4,1733.86,55863.95,30796.19
c2d-standard,2,8,standard,8,1733.8,56034.12,30688.13
c2d-standard,4,16,standard,1,1564.89,49859.83,30730.21
c2d-standard,4,16,standard,2,3127.55,105549.99,60687.52
c2d-standard,4,16,standard,4,3466.66,112483.56,58854.49
c2d-standard,4,16,standard,8,3471.51,111168.91,52760.32
c2d-standard,8,32,standard,1,1565.08,50334.18,30744.74
c2d-standard,8,32,standard,2,3128.01,99625.91,60909.9
c2d-standard,8,32,standard,4,6259.01,193295.97,120794.93
c2d-standard,8,32,standard,8,6923.11,215235.68,82819.27